,created_at,description,friends_count,id,lang,location,name,screen_name,text,time_zone,verified
62,Wed Sep 23 15:40:41 +0000 2015,let's make the world better. join my fan club @officialfahlo and add me on @shots 'justinbieber'. my new single what do you mean out now on spotify and itunes,364.0,6.467107873989878e+17,es,,Sony,TheTablamc,dimite el presidente de   tras el escándalo de manipulación de emisiones en eeuu: fráncfo el presidente de   ma,la paz,11231.0
63,Wed Sep 23 15:40:43 +0000 2015,dios • cada quien con su locura☆,36.0,6.467107934472151e+17,es,mejicanos,Samuel Santos,S21Samuel,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,55.0
64,Wed Sep 23 15:40:44 +0000 2015,periodista y fotógrafo deportivo salvadoreño. redactor  editor de estilo y traductor. idiomas: castellano  inglés y francés. detallista y buen amigo.,21.0,6.467107993569812e+17,es,san miguel,Sebastian Cortez,CortezSebas73,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,19.0
65,Wed Sep 23 15:40:45 +0000 2015,,60.0,6.467108017728676e+17,es,,carlos rivera,carlosrivmtz191,tampico fráncfo el presidente de   main winterkorn dimitió hoy tras el escándalo desatado por la manipulación de las,,39.0
66,Wed Sep 23 15:40:45 +0000 2015,venezolano  empresario  amante de la libertad  la música  la tecnología y las noticias.,1947.0,6.467108040545853e+17,es,venezuela,José Luis,Gato177,presidente de   dimite por escándalo: (redacción atm-agencia de noticias) el jefe vía ,caracas,2456.0
67,Wed Sep 23 15:40:46 +0000 2015,soy persona de pueblo me gustan las fiestas la natacion el futbol me gusta mucho chile el pais los rios los lagos y me gusta la musica romantica y clasica,17.0,6.467108076617114e+17,es,esa,Sigfrido Escalante,SigfridoEscalan,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,16.0
68,Wed Sep 23 15:40:46 +0000 2015,colegio oficial de peritos e ingenieros técnicos industriales de cádiz. promovemos la competitividad de nuestros colegiados. #convenios #formación #servicios,1570.0,6.467108090751222e+17,es,cadiz,COGITI-CADIZ,COPITICADIZ,el ministerio de industria energía y turismo expresa a   su preocupación: titular: el ministerio de  ,,2016.0
69,Wed Sep 23 15:40:47 +0000 2015,no soy de esos estereotipos que dicen ser amantes de la literatura y la música; yo soy uno más que lía con su propia ignorancia a diario.,242.0,6.467108122210468e+17,es,bogotá  colombia,David ,DavGallagher96,a   se le fue hondo muchos maricas,eastern time (us & canada),190.0
70,Wed Sep 23 15:40:48 +0000 2015,gerente del grupo editorial conciencia publica. (semanario conciencia publica ) y coductor de prog juvenil vyv fusion internacional,24.0,6.467108148968448e+17,es,santa tecla,Adalberto Pineda,lbertoPine11,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),25.0
71,Wed Sep 23 15:40:50 +0000 2015,desde que te vi una flecha me clavaste con amor...,19.0,6.467108227779748e+17,es,san salvador,Adriana de la Cruz,AdrianiiiDe,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,19.0
72,Wed Sep 23 15:40:52 +0000 2015,recíclate en venezuela es una fundación sin fines de lucro que busca crear conciencia sobre la importancia de rescatar nuestro planeta,2671.0,6.467108329239593e+17,es,caracas  venezuela,Fundación Recíclate ,reciclateenvzla,la justicia alemana estudia investigar a  : recogerá las denuncias contra el fabricante al reciclate,,10989.0
73,Wed Sep 23 15:40:52 +0000 2015,i'm back :-),12.0,6.467108338005811e+17,es,san sivar,Agustín Pérez,AgustnPrez8,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,22.0
74,Wed Sep 23 15:40:52 +0000 2015,recíclate en venezuela es una fundación sin fines de lucro que busca crear conciencia sobre la importancia de rescatar nuestro planeta,2671.0,6.467108340103291e+17,es,caracas  venezuela,Fundación Recíclate ,reciclateenvzla,qué repercusión podría tener en la salud el asunto  : la emisión de paículas puede a  reciclate,,10989.0
75,Wed Sep 23 15:40:53 +0000 2015,recíclate en venezuela es una fundación sin fines de lucro que busca crear conciencia sobre la importancia de rescatar nuestro planeta,2671.0,6.467108357635154e+17,es,caracas  venezuela,Fundación Recíclate ,reciclateenvzla,el jefe de   dimite por el escándalo de las emisiones de gases: winterkorn cede a la presi reciclate,,10989.0
76,Wed Sep 23 15:40:53 +0000 2015,recíclate en venezuela es una fundación sin fines de lucro que busca crear conciencia sobre la importancia de rescatar nuestro planeta,2671.0,6.467108364807496e+17,es,caracas  venezuela,Fundación Recíclate ,reciclateenvzla,soria pregunta a   por los coches trucados en españa: industria reconoce que se encargó de reciclate,,10989.0
77,Wed Sep 23 15:40:54 +0000 2015,catolico y aliancista de corazon!!,17.0,6.467108391147643e+17,es,california / esa,Aldo Medina,Aldo3Medina,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),18.0
78,Wed Sep 23 15:40:54 +0000 2015,el ciudadano libre que escapó de la caverna para ver la realidad con sus propios ojos,1998.0,6.467108408723005e+17,es,madrid,Javier Pérez Santos,jperezsantos,dimite el presidente de   si llega a ser en españa se hubiera subido el sueldo ,athens,1285.0
79,Wed Sep 23 15:40:56 +0000 2015,cardiología / ecocardiografía / terapia intensiva cardiológica,339.0,6.467108479563244e+17,es,guadalajara  jalisco. méxico,Fausto Barrera,FaEdBaGo,un ingeniero de ee uu avisó hace un año del fraude de    economía  el país ,mexico city,427.0
80,Wed Sep 23 15:40:56 +0000 2015,deja de preocuparte por lo que te hace llorar y empieza a valorar aquello que te hace sonreír :d,13.0,6.467108500493394e+17,es,el salvador,Ale Amador,AleAmador9,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,18.0
81,Wed Sep 23 15:40:57 +0000 2015,,1.0,6.467108552754463e+17,es,,Alejandro Sánchez,Alesanzr001,renuncia presidente de   por fraude con prueba de emisiones: el presidente de   main ,,15.0
82,Wed Sep 23 15:40:58 +0000 2015,no soy el de la mùsica de árbol.,456.0,6.467108560556564e+17,es,,Osvaldo Ferreira,osferre,y unos cuantos más que si los vamos a empezar a nombrar nos tomaría hasta navidad por ahí ,buenos aires,225.0
83,Wed Sep 23 15:40:58 +0000 2015,my god's not dead. | estudiante de comunicaciones.,16.0,6.467108572299756e+17,es,zacate,Pablo Roque,PabloRoque10,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,20.0
84,Wed Sep 23 15:40:59 +0000 2015,,4.0,6.467108614117089e+17,es,,Brandon Flores,branfb,renuncia presidente de   por fraude con prueba de emisiones: el presidente de   main ,,8.0
85,Wed Sep 23 15:41:00 +0000 2015,ceo: http://t.co/7wuwexqfeu ingeniero informático trabajo: wordpress prestashop php mysql jquery seo sem | youtuber sin prejuicios en: http://t.co/d01pnyyltf,291.0,6.467108654970593e+17,es,sevilla (es) - bristol (uk),eduk2,eduk2,por qué hizo trampas   en sus tdi ,madrid,579.0
86,Wed Sep 23 15:41:01 +0000 2015,#sud #jas hablo sobre la #vida  #tecnología  #marketing y #liderazgo con la idea que #mejorar el #mundo es tarea de todos...,22.0,6.467108688355697e+17,es,mahagual,Alonso Santos,AlonsoSantos16,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,22.0
87,Wed Sep 23 15:41:04 +0000 2015,noticias 24 horas,202.0,6.467108810746798e+17,es,méxico  d.f.,24 Horas,24HorasMx,ceo de   renuncia en medio del escándalo ,central time (us & canada),149696.0
88,Wed Sep 23 15:41:05 +0000 2015,bailarin  coreógrafo e instructor de clases de baile  amo bailar el sentir del movimiento de mi cuerpo dejandose llevar por el ritmo de la musica.,23.0,6.467108864894198e+17,es,san salvador,Angel Parada,AngelParada11,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,18.0
89,Wed Sep 23 15:41:05 +0000 2015,actualidad y análisis sobre venezuela  eeuu y latinoamérica de interés para todos los hispanohablantes.,1416.0,6.467108879238717e+17,es,miami y caracas.,venezuelaaldia,venezuelaaldia,merkel pidió “transparencia total” justicia alemana abrió investigación penal contra la… ,eastern time (us & canada),106112.0
90,Wed Sep 23 15:41:06 +0000 2015,actor  director  escritor,947.0,6.467108914136678e+17,es,,Alberick García Cern,alberickgarcia,su renuncia nos da la razón hemos sido maleducados a propósito para comprar autos un ideal falso de bienestar ,eastern time (us & canada),1162.0
91,Wed Sep 23 15:41:07 +0000 2015,última hora  actualidad  opinión y tendencias en el huffington post.,915.0,6.467108936911708e+17,es,madrid  spain,El Huffington Post,ElHuffPost,te va a afectar el escándalo si tienes un   en españa ,madrid,357235.0
