,id,location,country_code,latitude,longitude
93,646711360596762625,San Salvador,AR,-31.62487,-58.50524
94,646711366582071297,San Salvador,AR,-31.62487,-58.50524
95,646711384323960832,San Salvador,AR,-31.62487,-58.50524
96,646711400639807488,San Salvador,AR,-31.62487,-58.50524
97,646711407799463936,San Salvador,AR,-31.62487,-58.50524
98,646711413449199616,San Salvador,AR,-31.62487,-58.50524
99,646711420474626049,San Salvador,AR,-31.62487,-58.50524
100,646711426380251140,San Salvador,AR,-31.62487,-58.50524
101,646711495682822144,San Salvador,AR,-31.62487,-58.50524
102,646711694702411777,San Salvador,AR,-31.62487,-58.50524
103,646711702784839680,San Salvador,AR,-31.62487,-58.50524
104,646713018303143936,San Salvador,AR,-31.62487,-58.50524
105,646713020626800640,San Salvador,AR,-31.62487,-58.50524
106,646713624199856128,San Pedro,AR,-33.67913,-59.66663000000001
107,646713624199856128,San Pedro,AR,-26.62207,-54.10842
108,646710799356981248,San Miguel,AR,-27.99585,-57.58964
109,646711180900196352,San Miguel,AR,-27.99585,-57.58964
110,646713024754003968,San Miguel,AR,-27.99585,-57.58964
111,646712507172790272,San Lorenzo,AR,-28.13306,-58.76733
112,646713116114325506,San José,AR,-27.769790000000004,-55.7826
113,646713124360482817,San José,AR,-27.769790000000004,-55.7826
114,646713684098686976,San Carlos,AR,-27.74586,-55.89731
115,646713689693900800,San Carlos,AR,-27.74586,-55.89731
116,646714657269411840,Puerto Rico,AR,-26.79598,-55.02401999999999
117,646710973928226816,Pontevedra,AR,-34.74974,-58.68697
118,646712760173248512,Pontevedra,AR,-34.74974,-58.68697
119,646712800870539264,Pontevedra,AR,-34.74974,-58.68697
120,646712853228048385,Pontevedra,AR,-34.74974,-58.68697
121,646714987067523072,Morón,AR,-34.65344,-58.61975
122,646713394972729344,Mar del Plata,AR,-38.00228,-57.55754
123,646711068929228800,Lomas de Zamora,AR,-34.76088,-58.40632
124,646711098851368960,Lomas de Zamora,AR,-34.76088,-58.40632
125,646711171437826048,Libertad,AR,-30.043000000000006,-57.8202
126,646711258884927488,Libertad,AR,-30.043000000000006,-57.8202
127,646711320151109633,Libertad,AR,-30.043000000000006,-57.8202
128,646711178622734336,La Plata,AR,-34.92145,-57.95453000000001
129,646711179365093377,La Plata,AR,-34.92145,-57.95453000000001
130,646713563659268096,La Plata,AR,-34.92145,-57.95453000000001
131,646711804345737216,La Paz,AR,-30.74485,-59.64566
132,646711860041924608,La Paz,AR,-30.74485,-59.64566
133,646712173788569600,La Paz,AR,-30.74485,-59.64566
134,646715641441976320,Lanús,AR,-34.70252,-58.3955
135,646714175184474112,La Cruz,AR,-29.17443,-56.64326
136,646715554363912192,La Cruz,AR,-29.17443,-56.64326
137,646713713517400064,Herrera,AR,-32.43516,-58.62461999999999
138,646710854231158784,Federal,AR,-30.95465,-58.78326
139,646712055412592640,Federal,AR,-30.95465,-58.78326
140,646713099567796224,Federal,AR,-30.95465,-58.78326
141,646713356905259009,Federal,AR,-30.95465,-58.78326
142,646714127193239554,Esquina,AR,-30.014440000000004,-59.52719
