id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646712533999570945,Wed Sep 23 15:47:38 +0000 2015,Leonardo Cañas,leonardo_jcl,False,459,436,@bueuf1 este caso de corrupción acabo con los planes futuros de @volkswagen en la @f1 ... mientras las acciones de @volkswagen caen...,venezuelan... chemical engineering student... addited to formula 1...,es,caracas,maracaibo  venezuela.
646712536776224768,Wed Sep 23 15:47:38 +0000 2015,Prueba,nopuedo1234,False,0,0,"""dimite el consejero delegado de volkswagen tras el escándalo de las emisiones de co2"" http://t.co/pi5lnj9mzr",NULL,es,athens,
646712541733875712,Wed Sep 23 15:47:39 +0000 2015,Jose Luis,melanocefalo,False,508,365,tiraste gas  abandonaste 🎶 https://t.co/fs1hpnp8ka,es neurológico,es,buenos aires,buenos aires  argentina
646712546221760512,Wed Sep 23 15:47:41 +0000 2015,Victoria Gutierrez,LongLife45,False,188,354,dimite el consejero delegado de volkswagen  martin winterkorn  por el escándalo de las emisiones http://t.co/mw9zo6ie2l,NULL,es,madrid,los yébenes (toledo)
646712547803054080,Wed Sep 23 15:47:41 +0000 2015,Inés González,Ines_gnzlez,False,4483,4339,rt @eldiarioes: dimite el presidente de volkswagen por el escándalo de la manipulación de emisiones http://t.co/waodskyuyb http://t.co/zzqw…,espectadora de la actualidad en 140 caracteres,es,athens,españa
646712551670173696,Wed Sep 23 15:47:42 +0000 2015,JUANMIGUELROÑABERRÚ.,Juancitomigueli,False,163,1944,rt @iphoneveneno: volkswagen se enfrenta a una de las mayores multas de la historia http://t.co/mmed6ie8qv http://t.co/wwwjbl21wn,sullaneritos  de los habitantes de perú:  yo no quiero que me andes dominando.  ¡salud!...,es,lima,china galaad judeaisrael...
646712552911712256,Wed Sep 23 15:47:42 +0000 2015,Venta de Cisternas,VentaCisternas,False,8,42,el ceo de volkswagen renuncia tras escándalo ecológico - http://t.co/goyxex4fxo http://t.co/1xn7beband,venta de cisternas prefabricadas en concreto para edificaciones y desarrollos urbanos  así como sistemas de bombeo de agua  equipos contra incendio  entre otros,es,NULL,guadalajara  jalisco
646712558880165888,Wed Sep 23 15:47:44 +0000 2015,Rafael Castro,castroscuro,False,53,89,seguro que volkswagen le echa la culpa a seat...,4 b's (basket  blues  bond  business and economic history)... vamos  lo que viene siendo un freak más...,es,NULL,
646712559236591617,Wed Sep 23 15:47:44 +0000 2015,elespacioverde,elespacioverde,False,417,632,después del escándalo de volkswagen  europa se pregunta sobre sus procedimientos de homologación: en europa  t... http://t.co/sgh1y0znjk,http://www.emprendiendoenverde.com/,es,athens,
646712562692849664,Wed Sep 23 15:47:44 +0000 2015,Ana Maria Llames,AnaLlames,False,1370,1414,rt @enriq_lop: facua critica el “servilismo” del ministro soria ante los intereses de volkswagen http://t.co/6359yeshp0,quiero recuperar el futuro que me han robado,es,NULL,
646712567340105728,Wed Sep 23 15:47:46 +0000 2015,jaime agudo,zzjag,False,61,118,volkswagen es el lehman brothers del sector de la automoción,my tweets  dear friend  are blowing in the wind...,es,madrid,
646712568426446848,Wed Sep 23 15:47:46 +0000 2015,Gaby,GabyGadhavi,False,43,67,y mientras tanto en argentina nos seguimos fumando cada uno!!!  https://t.co/0abxsrxsnp,NULL,es,NULL,londres  reino unido.
646712569122717696,Wed Sep 23 15:47:46 +0000 2015,Josep-Lluís Gonzalez,gonzalez_josep,False,171,558,dimite el presidente de volkswagen tras el escándalo por la manipulación de las emisiones de motores diésel | diario público,NULL,es,NULL,
646712568963313665,Wed Sep 23 15:47:46 +0000 2015,EL TIEMPO,ELTIEMPO,True,4220444,26243,renunció martin winterkorn  presidente de volkswagen [ampliación] http://t.co/eptshsdgim http://t.co/hbbiklo5x0,principales noticias de colombia y el mundo. los invitamos a navegar nuestro nuevo portal  centrado en las preferencias de los lectores.,es,bogota,bogotá  colombia
646712569990914049,Wed Sep 23 15:47:46 +0000 2015,El Quisqueyano,ElQuisqueyanoRD,False,34,2,renuncia presidente de volkswagen por escándalo con vehículos venden en eeuu http://t.co/m4bgkw9s4v,vocero de tú comunidad,es,NULL,república dominicana sdq
646712572033527812,Wed Sep 23 15:47:47 +0000 2015,Dr.Dionisio,FabianDionisio,False,149,159,rt @infobae: escándalo de volkswagen: renunció el ceo  martin winterkorn http://t.co/qezygmi0vr http://t.co/itvvguwqdw,NULL,es,NULL,
646712574713704448,Wed Sep 23 15:47:47 +0000 2015,Pedro Zizzamia,Pedro_Zizzamia,False,636,945,el modelo indec trasciende fronteras! volkswagen admitió haber equipado autos en eeuu c/ software q falseaba datos d emisiones contaminantes,papá de @angelazizzamia. socialista. rosarino. hincha de newell's. mietras juegue messi miro los partido del barza. amo mi ciudad.,es,buenos aires,rosario
646712580065611776,Wed Sep 23 15:47:49 +0000 2015,Polyllantas,Polyllantas,False,799,569,#autos el impacto del escándalo de volkswagen en la marca “hecho en ... - animal politico http://t.co/tvvgqx0sn0,#llantas bridgestone  amortiguadores  frenos  suspensión  taller #mecánico  alineación y balanceo  afinación  cambio de aceite y todo lo necesario para tu #auto,es,NULL,
